"Name","Live Bytes","Live Objects"
"byte[]","76,670,656 B (23.9%)","1,058,786 (16.2%)"
"jdk.internal.vm.FillerElement[]","31,845,512 B (9.9%)","39,493 (0.6%)"
"java.lang.String","24,561,552 B (7.7%)","1,023,398 (15.7%)"
"java.util.LinkedHashMap$Entry","17,266,440 B (5.4%)","431,661 (6.6%)"
"java.lang.Object[]","15,643,352 B (4.9%)","128,860 (2%)"
"java.util.LinkedHashMap","12,569,152 B (3.9%)","196,393 (3%)"
"java.util.HashMap$Node[]","12,398,464 B (3.9%)","195,354 (3%)"
"org.springframework.core.type.classreading.SimpleMethodMetadata","9,681,720 B (3%)","242,043 (3.7%)"
"java.util.concurrent.ConcurrentHashMap$Node","9,569,792 B (3%)","299,056 (4.6%)"
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source","7,745,376 B (2.4%)","242,043 (3.7%)"
"java.util.HashMap$Node","6,474,720 B (2%)","202,335 (3.1%)"
"java.lang.reflect.Method","4,894,296 B (1.5%)","55,617 (0.9%)"
"java.util.HashMap","4,755,456 B (1.5%)","99,072 (1.5%)"
"io.netty.util.internal.shaded.org.jctools.queues.MpscArrayQueue","3,333,120 B (1%)","4,960 (0.1%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","2,942,976 B (0.9%)","4,110 (0.1%)"
"java.nio.ByteBuffer[]","2,734,024 B (0.9%)","2,236 (0%)"
"int[]","2,644,384 B (0.8%)","34,977 (0.5%)"
"java.util.TreeMap$Entry","2,508,720 B (0.8%)","62,718 (1%)"
"java.lang.Class","2,501,344 B (0.8%)","21,165 (0.3%)"
"java.util.ArrayList","2,398,584 B (0.7%)","99,941 (1.5%)"
"org.aspectj.weaver.reflect.ShadowMatchImpl","2,276,352 B (0.7%)","47,424 (0.7%)"
"java.nio.channels.SelectionKey[]","2,125,408 B (0.7%)","1,341 (0%)"
"java.net.URL","1,851,200 B (0.6%)","28,925 (0.4%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadata","1,799,616 B (0.6%)","32,136 (0.5%)"
"java.util.LinkedHashSet","1,746,880 B (0.5%)","109,180 (1.7%)"
"org.aspectj.weaver.patterns.ExposedState","1,517,568 B (0.5%)","47,424 (0.7%)"
"java.util.Collections$UnmodifiableMap","1,358,528 B (0.4%)","42,454 (0.7%)"
"org.apache.kafka.common.message.ApiVersionsResponseData$ApiVersion","1,318,912 B (0.4%)","41,216 (0.6%)"
"org.apache.kafka.common.MetricName","1,197,312 B (0.4%)","37,416 (0.6%)"
"org.apache.kafka.common.metrics.KafkaMetric","1,178,432 B (0.4%)","36,826 (0.6%)"
"org.apache.kafka.common.metrics.stats.SampledStat$Sample","1,152,864 B (0.4%)","24,018 (0.4%)"
"java.util.stream.ReferencePipeline$Head","1,126,440 B (0.4%)","20,115 (0.3%)"
"java.util.LinkedHashMap$LinkedEntrySet","1,049,664 B (0.3%)","43,736 (0.7%)"
"org.springframework.core.annotation.TypeMappedAnnotation","930,384 B (0.3%)","16,614 (0.3%)"
"java.lang.Object","895,584 B (0.3%)","55,974 (0.9%)"
"java.time.Instant","884,568 B (0.3%)","36,857 (0.6%)"
"org.apache.kafka.common.telemetry.internals.MetricKey","883,824 B (0.3%)","36,826 (0.6%)"
"org.apache.kafka.common.metrics.Sensor","876,864 B (0.3%)","13,701 (0.2%)"
